conformer_name,consistency_iou
blob_5_NAG_8,0.7716535329818726
blob_5_NAG_3,0.7704280018806458
blob_5_NAG_5,0.7698412537574768
blob_5_NAG_7,0.76113361120224
blob_5_NAG_1,0.6980392336845398
blob_5_NAG_4,0.6793892979621887
blob_5_NAG_6,0.6541353464126587
blob_5_NAG_2,0.5895522236824036
blob_5_HEM_4,0.49900200963020325
blob_5_HEM_3,0.4835589826107025
blob_5_HEM_7,0.47876447439193726
blob_5_HEM_2,0.46732673048973083
blob_5_HEM_5,0.4668008089065552
blob_5_HEM_6,0.4609375
blob_5_HEM_8,0.45525291562080383
blob_5_HEM_1,0.43359375
