conformer_name,consistency_iou
blob_12_NDP_1,0.4689507484436035
blob_12_NDP_7,0.44807466864585876
blob_12_NDP_6,0.4396551847457886
blob_12_NDP_5,0.42396312952041626
blob_12_NDP_8,0.39717742800712585
blob_12_NDP_4,0.3598409593105316
blob_12_NDP_3,0.35242289304733276
blob_12_FAD_2,0.35035210847854614
blob_12_FAD_6,0.35020747780799866
blob_12_FAD_1,0.34683099389076233
blob_12_FAD_5,0.3370593190193176
blob_12_FAD_4,0.3327731192111969
blob_12_FAD_3,0.31814417243003845
blob_12_NDP_2,0.31490159034729004
blob_12_FAD_8,0.30971992015838623
blob_12_FAD_7,0.2612456679344177
