conformer_name,consistency_iou
blob_14_HEM_6,0.8549848794937134
blob_14_HEM_2,0.839580237865448
blob_14_HEM_3,0.8181818127632141
blob_14_HEM_1,0.8112927079200745
blob_14_HEM_5,0.8066465258598328
blob_14_HEM_8,0.8065966963768005
blob_14_HEM_7,0.7963801026344299
blob_14_HEM_4,0.7946026921272278
blob_14_FAD_7,0.7532467246055603
blob_14_FAD_8,0.7283582091331482
blob_14_FAD_1,0.7175792455673218
blob_14_FAD_4,0.7175140976905823
blob_14_FAD_3,0.7042253613471985
blob_14_FAD_6,0.6911564469337463
blob_14_FAD_2,0.6890982389450073
blob_14_NDP_7,0.6815642714500427
blob_14_NDP_2,0.6814814805984497
blob_14_NDP_8,0.6733238101005554
blob_14_FAD_5,0.6657534241676331
blob_14_NDP_5,0.6597014665603638
blob_14_NDP_3,0.6570188403129578
blob_14_NDP_1,0.6297872066497803
blob_14_NDP_6,0.6264367699623108
blob_14_NDP_4,0.6187050342559814
