conformer_name,consistency_iou
blob_13_HEM_6,0.8551136255264282
blob_13_HEM_1,0.8543140292167664
blob_13_HEM_7,0.8473609089851379
blob_13_HEM_4,0.8169838786125183
blob_13_HEM_8,0.8149210810661316
blob_13_HEM_3,0.8148148059844971
blob_13_HEM_2,0.8060941696166992
blob_13_HEM_5,0.8057553768157959
blob_13_FAD_8,0.7458100318908691
blob_13_FAD_2,0.7426160573959351
blob_13_FAD_6,0.7290233969688416
blob_13_FAD_4,0.7209944725036621
blob_13_NDP_4,0.7162534594535828
blob_13_FAD_5,0.7133421301841736
blob_13_NDP_3,0.6993007063865662
blob_13_FAD_3,0.6887966990470886
blob_13_FAD_1,0.6742712259292603
blob_13_FAD_7,0.6719160079956055
blob_13_NDP_7,0.6704545617103577
blob_13_NDP_8,0.6657342910766602
blob_13_NDP_1,0.6546463370323181
blob_13_NDP_5,0.6518105864524841
blob_13_NDP_2,0.6346153616905212
blob_13_NDP_6,0.6253369450569153
